# Fraction to downsample DESI mocks redshift distribution to SDSS redshift distribution
#
# SDSS catalog: DR14Q_v3_1.fits
# DESI catalog: /project/projectdirs/desi/mocks/lya_forest/london/v4.0.0/master.fits
# Removing SDSS MJD: MJD_min = 55000
# Step of histogram: dz = 0.04
#
# z fraction
#
#
2.00000e-02 1.00000e+00
6.00000e-02 1.00000e+00
1.00000e-01 1.00000e+00
1.40000e-01 1.00000e+00
1.80000e-01 1.00000e+00
2.20000e-01 1.00000e+00
2.60000e-01 1.00000e+00
3.00000e-01 1.00000e+00
3.40000e-01 1.00000e+00
3.80000e-01 1.00000e+00
4.20000e-01 1.00000e+00
4.60000e-01 1.00000e+00
5.00000e-01 1.00000e+00
5.40000e-01 1.00000e+00
5.80000e-01 1.00000e+00
6.20000e-01 1.00000e+00
6.60000e-01 1.00000e+00
7.00000e-01 1.00000e+00
7.40000e-01 1.00000e+00
7.80000e-01 1.00000e+00
8.20000e-01 1.00000e+00
8.60000e-01 1.00000e+00
9.00000e-01 1.00000e+00
9.40000e-01 1.00000e+00
9.80000e-01 1.00000e+00
1.02000e+00 1.00000e+00
1.06000e+00 1.00000e+00
1.10000e+00 1.00000e+00
1.14000e+00 1.00000e+00
1.18000e+00 1.00000e+00
1.22000e+00 1.00000e+00
1.26000e+00 1.00000e+00
1.30000e+00 1.00000e+00
1.34000e+00 1.00000e+00
1.38000e+00 1.00000e+00
1.42000e+00 1.00000e+00
1.46000e+00 1.00000e+00
1.50000e+00 1.00000e+00
1.54000e+00 1.00000e+00
1.58000e+00 1.00000e+00
1.62000e+00 1.00000e+00
1.66000e+00 1.00000e+00
1.70000e+00 1.00000e+00
1.74000e+00 1.00000e+00
1.78000e+00 1.00000e+00
1.82000e+00 2.57479e-01
1.86000e+00 2.52259e-01
1.90000e+00 2.52457e-01
1.94000e+00 2.55298e-01
1.98000e+00 2.62823e-01
2.02000e+00 2.66328e-01
2.06000e+00 2.63627e-01
2.10000e+00 3.01837e-01
2.14000e+00 3.54896e-01
2.18000e+00 4.90030e-01
2.22000e+00 5.67161e-01
2.26000e+00 6.57994e-01
2.30000e+00 6.45418e-01
2.34000e+00 6.47788e-01
2.38000e+00 6.53733e-01
2.42000e+00 6.44540e-01
2.46000e+00 6.20007e-01
2.50000e+00 6.17225e-01
2.54000e+00 6.17408e-01
2.58000e+00 6.16615e-01
2.62000e+00 5.83877e-01
2.66000e+00 6.09953e-01
2.70000e+00 5.87493e-01
2.74000e+00 5.75306e-01
2.78000e+00 5.48105e-01
2.82000e+00 5.39037e-01
2.86000e+00 5.23661e-01
2.90000e+00 5.55777e-01
2.94000e+00 5.81468e-01
2.98000e+00 6.37478e-01
3.02000e+00 7.19717e-01
3.06000e+00 7.15130e-01
3.10000e+00 7.47500e-01
3.14000e+00 7.53106e-01
3.18000e+00 8.21379e-01
3.22000e+00 8.31032e-01
3.26000e+00 8.30366e-01
3.30000e+00 7.98867e-01
3.34000e+00 7.66165e-01
3.38000e+00 6.24617e-01
3.42000e+00 5.74283e-01
3.46000e+00 5.38137e-01
3.50000e+00 5.46854e-01
3.54000e+00 6.44330e-01
3.58000e+00 7.57583e-01
3.62000e+00 8.77801e-01
3.66000e+00 9.07034e-01
3.70000e+00 9.62702e-01
3.74000e+00 1.00000e+00
3.78000e+00 9.78703e-01
3.82000e+00 1.00000e+00
3.86000e+00 1.00000e+00
3.90000e+00 1.00000e+00
3.94000e+00 1.00000e+00
3.98000e+00 1.00000e+00
4.02000e+00 1.00000e+00
4.06000e+00 1.00000e+00
4.10000e+00 1.00000e+00
4.14000e+00 1.00000e+00
4.18000e+00 1.00000e+00
4.22000e+00 1.00000e+00
4.26000e+00 1.00000e+00
4.30000e+00 1.00000e+00
4.34000e+00 1.00000e+00
4.38000e+00 1.00000e+00
4.42000e+00 1.00000e+00
4.46000e+00 1.00000e+00
4.50000e+00 1.00000e+00
4.54000e+00 1.00000e+00
4.58000e+00 1.00000e+00
4.62000e+00 1.00000e+00
4.66000e+00 1.00000e+00
4.70000e+00 1.00000e+00
4.74000e+00 1.00000e+00
4.78000e+00 1.00000e+00
4.82000e+00 1.00000e+00
4.86000e+00 1.00000e+00
4.90000e+00 1.00000e+00
4.94000e+00 1.00000e+00
4.98000e+00 1.00000e+00
5.02000e+00 1.00000e+00
5.06000e+00 1.00000e+00
5.10000e+00 1.00000e+00
5.14000e+00 1.00000e+00
5.18000e+00 1.00000e+00
5.22000e+00 1.00000e+00
5.26000e+00 1.00000e+00
5.30000e+00 1.00000e+00
5.34000e+00 1.00000e+00
5.38000e+00 1.00000e+00
5.42000e+00 1.00000e+00
5.46000e+00 1.00000e+00
5.50000e+00 1.00000e+00
5.54000e+00 1.00000e+00
5.58000e+00 1.00000e+00
5.62000e+00 1.00000e+00
5.66000e+00 1.00000e+00
5.70000e+00 1.00000e+00
5.74000e+00 1.00000e+00
5.78000e+00 1.00000e+00
5.82000e+00 1.00000e+00
5.86000e+00 1.00000e+00
5.90000e+00 1.00000e+00
5.94000e+00 1.00000e+00
5.98000e+00 1.00000e+00
6.02000e+00 1.00000e+00
6.06000e+00 1.00000e+00
6.10000e+00 1.00000e+00
6.14000e+00 1.00000e+00
6.18000e+00 1.00000e+00
6.22000e+00 1.00000e+00
6.26000e+00 1.00000e+00
6.30000e+00 1.00000e+00
6.34000e+00 1.00000e+00
6.38000e+00 1.00000e+00
6.42000e+00 1.00000e+00
6.46000e+00 1.00000e+00
6.50000e+00 1.00000e+00
6.54000e+00 1.00000e+00
6.58000e+00 1.00000e+00
6.62000e+00 1.00000e+00
6.66000e+00 1.00000e+00
6.70000e+00 1.00000e+00
6.74000e+00 1.00000e+00
6.78000e+00 1.00000e+00
6.82000e+00 1.00000e+00
6.86000e+00 1.00000e+00
6.90000e+00 1.00000e+00
6.94000e+00 1.00000e+00
6.98000e+00 1.00000e+00
7.02000e+00 1.00000e+00
7.06000e+00 1.00000e+00
7.10000e+00 1.00000e+00
7.14000e+00 1.00000e+00
7.18000e+00 1.00000e+00
7.22000e+00 1.00000e+00
7.26000e+00 1.00000e+00
7.30000e+00 1.00000e+00
7.34000e+00 1.00000e+00
7.38000e+00 1.00000e+00
7.42000e+00 1.00000e+00
7.46000e+00 1.00000e+00
7.50000e+00 1.00000e+00
7.54000e+00 1.00000e+00
7.58000e+00 1.00000e+00
7.62000e+00 1.00000e+00
7.66000e+00 1.00000e+00
7.70000e+00 1.00000e+00
7.74000e+00 1.00000e+00
7.78000e+00 1.00000e+00
7.82000e+00 1.00000e+00
7.86000e+00 1.00000e+00
7.90000e+00 1.00000e+00
7.94000e+00 1.00000e+00
7.98000e+00 1.00000e+00
8.02000e+00 1.00000e+00
8.06000e+00 1.00000e+00
8.10000e+00 1.00000e+00
8.14000e+00 1.00000e+00
8.18000e+00 1.00000e+00
8.22000e+00 1.00000e+00
8.26000e+00 1.00000e+00
8.30000e+00 1.00000e+00
8.34000e+00 1.00000e+00
8.38000e+00 1.00000e+00
8.42000e+00 1.00000e+00
8.46000e+00 1.00000e+00
8.50000e+00 1.00000e+00
8.54000e+00 1.00000e+00
8.58000e+00 1.00000e+00
8.62000e+00 1.00000e+00
8.66000e+00 1.00000e+00
8.70000e+00 1.00000e+00
8.74000e+00 1.00000e+00
8.78000e+00 1.00000e+00
8.82000e+00 1.00000e+00
8.86000e+00 1.00000e+00
8.90000e+00 1.00000e+00
8.94000e+00 1.00000e+00
8.98000e+00 1.00000e+00
9.02000e+00 1.00000e+00
9.06000e+00 1.00000e+00
9.10000e+00 1.00000e+00
9.14000e+00 1.00000e+00
9.18000e+00 1.00000e+00
9.22000e+00 1.00000e+00
9.26000e+00 1.00000e+00
9.30000e+00 1.00000e+00
9.34000e+00 1.00000e+00
9.38000e+00 1.00000e+00
9.42000e+00 1.00000e+00
9.46000e+00 1.00000e+00
9.50000e+00 1.00000e+00
9.54000e+00 1.00000e+00
9.58000e+00 1.00000e+00
9.62000e+00 1.00000e+00
9.66000e+00 1.00000e+00
9.70000e+00 1.00000e+00
9.74000e+00 1.00000e+00
9.78000e+00 1.00000e+00
9.82000e+00 1.00000e+00
9.86000e+00 1.00000e+00
9.90000e+00 1.00000e+00
9.94000e+00 1.00000e+00
