# model of ELG err(z) vs. OII flux

# OIIFLUX    SIGMAZ
 2.10526e-17 0.000174017
 6.31579e-17 0.000126125
10.52632e-17 9.62355e-05
14.73684e-17 7.75823e-05
18.94737e-17 6.59412e-05
23.15789e-17 5.86761e-05
27.36842e-17 5.41421e-05
31.57895e-17 5.13126e-05
35.78947e-17 4.95467e-05
40.00000e-17 4.84446e-05
44.21053e-17 4.77568e-05
48.42105e-17 4.73276e-05
52.63158e-17 4.70597e-05
56.84211e-17 4.68926e-05
61.05263e-17 4.67882e-05
65.26316e-17 4.67231e-05
69.47368e-17 4.66825e-05
73.68421e-17 4.66571e-05
77.89474e-17 4.66413e-05
